area,low,high,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
8.68124963,19.2971343,16.6897718,14,10,18,8,5,7,3,7,6,4,15,15,5,13,11,4,9,6,8,3,0
9.007200007,17.50252084,18.13188357,16,14,11,7,12,5,6,9,3,0,15,11,14,6,10,8,9,6,3,3,0
8.479294128,19.55732238,16.56412003,8,14,12,8,7,11,6,1,9,3,18,11,14,13,9,4,5,5,4,4,0
12.02123844,16.93460229,15.57939898,12,18,10,11,12,4,7,6,2,4,24,19,6,9,3,8,6,2,7,1,0
5.836801979,14.22692607,24.46163556,26,18,11,6,8,4,3,2,7,4,21,11,3,9,5,5,7,2,3,3,0
9.640222178,16.52062557,18.34289512,14,11,10,16,9,7,5,4,7,3,13,13,6,7,12,8,11,3,5,9,0
13.28701261,14.86507316,16.20622017,15,13,8,17,11,10,4,9,6,1,13,15,12,11,7,13,5,4,4,4,0
12.54194911,16.4869529,15.16961655,12,12,14,14,10,6,5,5,7,2,16,13,14,10,6,13,11,3,2,2,0
8.163541627,17.8367424,18.19692723,12,11,12,9,10,8,6,10,7,5,13,12,10,9,9,12,4,6,6,2,0
8.073020925,18.39662825,17.70997627,16,7,7,14,13,11,8,2,3,2,15,14,4,13,7,11,11,6,2,3,0
12.15729748,16.23341348,15.65014269,12,17,12,9,8,10,8,7,5,1,11,17,15,7,10,8,7,8,5,2,0
10.44196368,17.76105898,15.76409053,11,16,12,9,5,9,12,4,5,4,13,13,15,9,12,11,3,5,5,5,0
8.529092683,18.70309338,16.68509529,13,8,14,10,8,9,6,5,7,7,17,11,13,12,9,5,8,3,5,3,0
11.8150036,16.52987449,15.56571689,16,15,10,11,11,5,5,6,4,5,13,11,6,15,12,14,8,6,5,4,0
8.653033924,18.65630621,16.53286083,18,9,9,12,3,8,10,7,3,3,12,16,10,14,10,8,5,5,2,7,0
12.15989107,16.30492279,15.35937806,12,11,12,13,9,12,9,3,4,6,13,13,14,8,13,10,8,6,4,2,0
7.303944114,18.92605649,17.56950455,10,13,14,7,7,8,5,8,6,6,9,10,16,9,15,7,10,5,3,3,0
12.72204419,16.29745237,14.77613789,11,12,16,17,4,6,6,10,4,2,17,13,9,11,13,12,5,7,1,3,0
11.95109936,17.60158648,14.16202134,7,12,16,13,10,8,8,3,5,4,16,15,16,9,7,14,2,3,6,5,0
11.00582526,16.57219063,16.05356492,15,14,12,11,10,5,8,7,0,4,14,14,16,10,11,11,7,3,3,0,0
11.37278961,17.98738199,14.24418336,11,7,14,13,11,7,12,6,4,3,12,15,20,14,10,7,7,3,2,2,0
11.91476942,16.50433879,15.16089673,8,14,13,17,9,6,8,7,4,5,19,16,7,14,7,7,5,9,2,2,0
11.77381791,17.12366656,14.59917673,12,11,13,12,7,11,8,4,5,5,15,22,11,9,7,3,10,7,3,4,0
8.807513784,16.74720568,17.88183776,18,15,8,12,7,7,3,4,4,5,13,13,9,14,11,7,6,4,1,4,0
8.073587673,19.72983558,15.58184043,10,14,14,13,5,3,8,6,2,6,13,22,11,10,9,5,6,8,2,4,0
12.05480501,17.3069048,13.91919084,9,13,13,16,10,9,6,3,4,1,18,16,10,13,13,5,5,7,3,2,0
10.36056624,16.64857959,16.21783729,18,13,8,13,9,5,4,12,4,1,18,17,14,9,9,4,5,1,7,4,0
12.33898519,16.86743505,13.93312382,19,17,7,5,7,5,12,1,6,4,17,16,17,12,9,7,5,2,4,1,0
13.52730879,15.75982314,13.77286261,11,15,16,7,9,7,7,10,9,3,18,14,15,6,9,7,13,7,5,1,0
12.51163066,15.74473994,14.67988124,16,11,19,7,8,9,4,8,7,1,11,19,11,13,9,12,6,4,6,1,0
7.581061639,19.1041775,16.22948821,13,10,8,15,10,5,8,6,3,3,16,9,13,13,13,5,4,4,5,3,0
8.175516107,17.4610387,17.22910519,14,14,12,10,8,12,5,3,4,3,18,8,13,10,12,6,5,4,6,6,0
7.12121719,17.69677524,18.04184304,14,15,12,6,7,4,6,8,9,5,13,10,8,16,8,4,7,12,3,5,0
13.86032163,13.14817408,15.8301174,14,16,12,14,14,11,3,3,4,6,17,8,10,13,8,14,6,5,8,4,0
11.50636877,15.48494536,15.83961917,13,17,13,10,10,11,9,2,4,2,19,15,10,10,9,11,8,3,3,3,0
8.577414411,16.93491486,17.31362857,10,23,6,7,7,8,8,7,10,4,11,12,13,13,7,11,4,6,9,5,0
14.06782763,14.8793106,13.87414975,15,11,14,14,8,8,8,6,5,4,21,13,11,14,7,10,7,3,2,4,0
11.03981471,16.99310787,14.70316124,12,10,17,9,10,8,11,2,4,4,18,13,12,9,9,9,5,10,5,5,0
7.210730289,18.5641185,16.94908591,9,13,11,7,10,12,5,10,4,4,8,15,12,11,12,9,10,4,3,3,0
9.040172086,17.99214322,15.64862246,11,11,12,12,9,12,4,7,3,3,11,10,18,13,12,10,4,9,2,2,0
7.286350217,17.59377177,17.77293105,14,10,17,12,7,7,7,6,4,3,15,15,8,11,7,10,1,4,8,6,0
12.45424293,13.91193834,16.27579362,12,15,21,11,7,8,8,4,4,4,17,5,11,19,8,9,10,6,2,0,0
12.13756728,15.71192668,14.71690315,13,13,9,12,13,10,5,3,7,8,16,10,13,9,14,9,11,5,6,1,0
8.045338598,16.83894136,17.67514696,15,16,7,12,6,7,7,6,3,5,15,13,8,8,8,14,5,6,4,1,0
7.218190602,18.6405451,16.64980117,14,12,8,7,12,10,6,6,4,5,19,11,11,11,5,9,10,4,1,4,0
10.32034064,16.75600776,15.40427183,10,13,14,9,10,10,8,7,5,4,15,12,14,9,11,7,9,6,7,5,0
11.98867461,15.93043669,14.50723634,12,11,16,11,12,10,4,5,6,4,11,18,11,14,13,7,8,5,1,2,0
11.28519175,15.81563776,15.3102948,17,15,9,12,9,5,10,3,4,3,18,15,10,12,11,6,5,6,4,8,0
10.62248865,17.95044732,13.83330688,19,15,4,8,9,5,7,9,5,4,16,19,14,14,14,7,3,1,1,3,0
10.56595836,17.33538579,14.36950306,20,10,5,9,7,7,8,7,8,8,19,10,14,12,9,6,9,4,8,3,0
6.920804739,19.89917582,15.44775897,14,6,11,10,11,7,8,6,4,4,16,13,10,14,7,8,8,8,1,4,0
11.79050564,17.01618866,13.43763434,17,10,12,7,5,9,12,5,5,4,20,13,16,3,12,15,6,1,4,5,0
7.634495787,18.38442189,16.18893885,10,12,12,19,6,4,6,3,4,7,12,18,10,6,8,12,10,6,6,2,0
8.977139792,18.14868447,15.02181208,10,10,14,14,11,8,5,3,5,5,16,13,18,11,9,5,5,7,3,3,0
12.56767061,15.55209176,14.00552113,12,19,17,11,3,7,3,3,8,2,21,15,8,11,10,7,10,6,5,1,0
8.476887978,18.55748169,15.0869742,14,9,10,9,11,11,8,5,3,2,20,12,16,7,11,5,4,4,7,3,0
11.82589589,15.64578551,14.57177263,17,11,18,8,7,8,5,7,6,3,24,9,15,10,7,3,9,4,3,5,0
7.708359795,19.14754353,15.18618753,11,7,11,7,12,10,7,8,8,6,10,14,16,17,6,10,5,6,4,4,0
10.95427532,14.18388589,16.89675752,11,19,12,12,10,11,5,4,6,6,11,13,12,11,9,10,8,8,2,3,0
10.611983,16.30768767,15.05178403,14,13,18,7,11,4,6,8,2,2,16,15,15,10,8,6,12,6,2,1,0
13.89636678,13.51683471,14.53489742,13,16,15,10,15,11,4,4,5,4,17,16,9,14,9,6,4,8,5,3,0
13.23911126,15.9630234,12.72590353,19,8,12,11,11,7,5,8,7,2,16,16,16,13,8,9,10,2,2,2,0
8.643894573,19.27511388,13.9938206,10,10,13,7,9,9,10,2,4,5,19,17,6,12,12,9,5,7,4,4,0
9.906133359,16.51355045,15.48786329,13,14,14,12,6,9,9,4,3,3,16,14,14,15,6,4,6,8,1,2,0
12.84066328,14.03579234,14.96653102,17,14,18,11,4,10,6,2,6,2,20,9,14,9,10,13,4,3,4,3,0
12.21017658,16.03834909,13.58290134,15,15,13,10,9,7,5,3,8,2,16,12,16,11,15,9,7,3,4,4,0
6.297452346,19.53706285,15.98723985,8,13,8,7,12,12,6,6,8,2,20,9,13,12,10,3,5,8,7,2,0
10.88769964,15.29621454,15.58690158,15,10,14,20,7,7,4,5,1,7,14,12,9,14,10,12,6,3,9,3,0
11.2810895,16.11486822,14.36353229,10,14,13,12,9,12,3,6,7,7,20,10,14,12,9,8,4,9,5,4,0
12.64042966,14.21969459,14.89793541,18,13,12,9,15,6,8,2,8,1,14,17,10,13,13,5,8,4,5,2,0
6.414692699,19.84635797,15.47567468,13,8,10,9,7,11,6,7,3,2,14,12,15,7,12,11,9,5,4,2,0
14.41857379,15.43555529,11.8783744,20,11,10,14,7,9,5,4,3,5,22,14,18,11,12,3,5,5,3,2,0
11.90725225,13.8371195,15.98257403,18,14,12,12,9,13,1,7,4,2,17,12,7,11,14,7,10,6,3,2,0
10.54252851,18.11748516,13.00764515,16,7,12,11,9,8,8,6,9,1,13,20,9,14,12,12,7,5,2,2,0
10.13159042,16.91686998,14.59714461,20,12,6,10,11,9,5,3,4,5,15,19,13,14,8,6,6,7,3,1,0
12.02926046,14.79103042,14.79190712,21,12,10,11,9,10,4,6,3,4,16,15,12,14,7,7,7,4,4,4,0
13.06827201,14.02998606,14.48440099,18,17,9,11,11,8,4,5,8,1,18,9,18,13,11,5,6,6,3,3,0
10.37232722,16.58591363,14.53887267,17,9,16,10,8,6,6,4,5,7,14,16,12,15,11,7,4,3,4,3,0
10.8930188,18.65274339,11.93047456,11,15,5,12,12,7,8,5,4,3,27,9,15,15,9,9,4,1,2,0,0
11.30355424,15.28473457,14.86269496,17,14,10,12,8,11,5,4,6,4,11,15,13,14,10,9,9,8,1,2,0
12.60887354,13.21099743,15.59552489,18,15,13,14,10,9,6,4,3,1,10,23,14,8,10,1,6,5,7,6,0
7.605529667,18.52072528,15.24332228,7,15,11,8,10,8,10,5,6,5,16,10,17,7,7,12,9,4,6,4,0
11.67452139,17.38178694,12.30628215,12,16,9,8,5,12,13,7,3,1,14,17,18,15,12,6,6,1,6,3,0
13.1175483,13.16614494,15.02755487,22,13,9,17,10,5,7,5,6,2,14,15,14,15,8,7,4,7,6,2,0
10.9694189,16.25034097,14.05391078,15,17,11,6,7,8,9,6,3,6,16,12,15,14,13,5,7,4,3,4,0
7.578196136,17.44505882,16.24728059,11,19,10,6,8,4,10,12,6,1,14,17,8,9,10,9,6,7,2,5,0
7.573122653,19.05006255,14.63582184,6,14,11,10,8,9,8,11,6,3,15,15,15,8,7,7,10,8,5,4,0
12.6018154,13.29477974,15.29230095,16,14,12,16,12,8,9,2,4,1,14,16,10,16,6,7,9,5,6,3,0
12.85283568,14.25384263,14.01709648,16,15,14,13,8,8,4,7,5,2,15,12,12,18,8,6,9,8,5,2,0
12.87240893,13.9827252,14.21964235,19,12,15,10,11,8,6,8,4,0,22,13,11,11,10,3,7,4,6,5,0
10.03998269,15.31390382,15.70577761,6,14,18,16,10,9,6,8,5,2,14,13,11,11,11,9,4,7,7,4,0
12.64200832,13.61133044,14.77542839,19,10,17,15,5,9,11,3,2,2,9,17,15,15,7,11,7,8,2,2,0
12.84541305,14.60914454,13.56757016,22,11,7,13,13,5,7,5,5,2,13,18,22,9,10,4,5,6,1,3,0
